dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers,presence_density,expertise_density,mask_disagreements,absent_train,no_expertise,min,median,max
cifar,iid,43,expert_prob,presence_prob,732fa36ec846a6f7,1ebd8f4d0fe501e7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7609,0.7615,-0.0005999999999999339,0.742044600391388,0.6973574625968934,0.044687137794494625,0.8183,0.7827,0.035600000000000076,1.500048393402514,1.5913698524649196,-0.09132145906240563,2.1448883830815526,2.1760931220498123,-0.031204738968259704,1000.0,0.0,1000.0,0.1,0.0,0.1,4.7,10.0,-5.3,5.7,9.999999999999998,-4.299999999999998,1.0,0.47,53,0,0,80,80.0,80
cifar,iid,44,expert_prob,presence_prob,f048d10da4d4f8c5,6ce4452f1aaab752,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7501,0.7471,0.0030000000000000027,0.7439198655128479,0.7422387187004089,0.0016811468124390272,0.8219,0.7951,0.026799999999999935,1.5625314945492446,1.6115981178102532,-0.049066623261008635,2.1693333030041497,2.1841124427676046,-0.014779139763454907,1000.0,0.0,1000.0,0.1,0.0,0.1,5.2,10.0,-4.8,6.2,9.999999999999998,-3.799999999999998,1.0,0.52,48,0,0,80,80.0,80
cifar,multi,42,expert_prob,presence_prob,e45d743ef17dcac0,0740d6c5f42a7b19,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7485,0.7485,0.0,1.5690236114501954,1.5690236114501954,0.0,0.942,0.942,0.0,0.774684495313124,0.774684495313124,0.0,1.6246264559525458,1.6246264559525458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,400,400.0,400
cifar,multi,43,expert_prob,presence_prob,cccf669675b00118,d8b07f6afc8b2393,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7377,0.7377,0.0,1.588653736114502,1.588653736114502,0.0,0.9265,0.9265,0.0,0.8099299222557768,0.8099299222557768,0.0,1.629249439199916,1.629249439199916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,400,400.0,400
cifar,multi,44,expert_prob,presence_prob,c75c2a10a08cf2fd,1a7201a6e079cf25,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7667,0.7667,0.0,1.5695095485687256,1.5695095485687256,0.0,0.9474,0.9474,0.0,0.7364628298630538,0.7364628298630538,0.0,1.5782369921977493,1.5782369921977493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,400,400.0,400
cifar,single,42,expert_prob,presence_prob,f384e4ed50945edc,6daf0c166bb3b82e,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7827,0.7827,0.0,1.7387799139022828,1.7387799139022828,0.0,1.0,1.0,0.0,0.3454380084591673,0.3454380084591673,0.0,1.1749363584860764,1.1749363584860764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,800,800.0,800
cifar,single,43,expert_prob,presence_prob,9d78cd505aef877c,d2303a6b1e21fff6,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8018,0.8018,0.0,1.558212961578369,1.558212961578369,0.0,1.0,1.0,0.0,0.3181445951576681,0.3181445951576681,0.0,1.1515907386505606,1.1515907386505606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,800,800.0,800
cifar,single,44,expert_prob,presence_prob,5284426a3da466ef,c5bd69e91022fa35,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.7783,0.7783,0.0,1.839888500785828,1.839888500785828,0.0,1.0,1.0,0.0,0.310253358283077,0.310253358283077,0.0,1.1268682133606789,1.1268682133606789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,800,800.0,800
fmnist,alpha0p1,42,expert_prob,presence_prob,f003b578acbead11,f40e6e8043575e58,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8977,0.9002,-0.0024999999999999467,0.5442288514614105,0.4151922191619873,0.12903663229942325,0.9944,0.9929,0.0014999999999999458,0.7653004349788436,0.927337725113684,-0.16203729013484036,1.7517848960329214,1.9072663909769392,-0.15548149494401775,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.9,-1.4000000000000004,3.5,4.9,-1.4000000000000004,0.49,0.35,14,51,53,3,157.0,934
fmnist,alpha0p1,43,expert_prob,presence_prob,89b7a98af918a190,23558ce568f1c4e4,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.894,0.8844,0.009600000000000053,0.4541786133289337,0.3900279455423355,0.06415066778659823,0.9934,0.9851,0.008299999999999974,0.8561923499609259,1.0363035576898207,-0.18011120772889488,1.8190037290807028,1.9693786767754773,-0.15037494769477444,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.5,-1.7000000000000002,3.8,5.5,-1.7000000000000002,0.55,0.38,17,45,49,1,101.0,964
