dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers,presence_density,expertise_density,mask_disagreements,absent_train,no_expertise,min,median,max
fmnist,multi,42,expert_prob,presence_prob,1ae17f261134557f,10b9c24426be0877,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9018,0.9018,0.0,1.6995739265441894,1.6995739265441894,0.0,0.9934,0.9934,0.0,0.1276510817896113,0.1276510817896113,0.0,0.3802350407623575,0.3802350407623575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,500,500.0,500
fmnist,multi,43,expert_prob,presence_prob,938891f0341da58b,6f37b1c1500f8395,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.8963,0.8963,0.0,1.7926450607299804,1.7926450607299804,0.0,0.9952,0.9952,0.0,0.1348430670673133,0.1348430670673133,0.0,0.3903763836934794,0.3903763836934794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,500,500.0,500
fmnist,multi,44,expert_prob,presence_prob,393db1feef47cf9d,a1435b7bc88a4962,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9028,0.9028,0.0,1.6088323692321778,1.6088323692321778,0.0,0.9939,0.9939,0.0,0.1518579201260208,0.1518579201260208,0.0,0.4291062887388214,0.4291062887388214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,500,500.0,500
fmnist,single,42,expert_prob,presence_prob,d167fc214edc5c68,a516ba91508314af,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9042,0.9042,0.0,2.942580070018768,2.942580070018768,0.0,1.0,1.0,0.0,3.920342750904092e-06,3.920342750904092e-06,0.0,5.1002922931681286e-05,5.1002922931681286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,1000,1000.0,1000
fmnist,single,43,expert_prob,presence_prob,e73aba17d579b084,40aa5475d2d98a37,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.899,0.899,0.0,3.1933379768371584,3.1933379768371584,0.0,1.0,1.0,0.0,2.784811898827674e-06,2.784811898827674e-06,0.0,3.786881728638407e-05,3.786881728638407e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,1000,1000.0,1000
fmnist,single,44,expert_prob,presence_prob,ab8e9ca45adc2256,465f8e36644c257d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9057,0.9057,0.0,2.6762206501960755,2.6762206501960755,0.0,1.0,1.0,0.0,3.872599766735031e-06,3.872599766735031e-06,0.0,4.910081560201257e-05,4.910081560201257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,1000,1000.0,1000
mnist,alpha0p1,42,expert_prob,presence_prob,d9427415fddfb7dc,49ccc8f99d915a54,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9884,0.9815,0.006899999999999906,0.0415412668741075,0.058106656403467,-0.0165653895293595,0.9965,0.9906,0.005900000000000016,0.8238872842622718,0.994965109347141,-0.17107782508486924,1.847589760899981,1.9651703444456416,-0.1175805835456607,0.0,0.0,0.0,0.0,0.0,0.0,4.8,6.8,-2.0,4.8,6.8,-2.0,0.68,0.48,20,32,35,1,118.0,892
mnist,alpha0p1,43,expert_prob,presence_prob,d78a0dac27b97e4e,23232abf198ecd1a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9857,0.9811,0.0046000000000000485,0.0545604023094289,0.0640809692252427,-0.009520566915813801,0.9969,0.9944,0.0025000000000000577,0.7378472888800105,0.8976461422727822,-0.15979885339277167,1.7145826007527365,1.87151575055538,-0.1569331498026436,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.0,-1.7000000000000002,3.3,5.0,-1.7000000000000002,0.5,0.33,17,50,54,1,117.0,1102
mnist,alpha0p1,44,expert_prob,presence_prob,cc4acf0198322c91,ddbd314a10793051,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9868,0.9841,0.0027000000000000357,0.0523772425275761,0.0531269822673872,-0.0007497397398111005,0.9984,0.996,0.0023999999999999577,0.6610174143662864,0.833028083607447,-0.1720106692411606,1.6167379445371357,1.8276485087074053,-0.21091056417026954,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.5,-1.4000000000000004,4.1,5.5,-1.4000000000000004,0.55,0.41,14,45,47,1,106.0,781
mnist,alpha0p5,42,expert_prob,presence_prob,f2209cbb09508377,a54c900bb8c71513,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9824,0.9751,0.007300000000000084,0.0602315281427116,0.0740211919175461,-0.013789663774834496,0.9878,0.9764,0.011399999999999966,0.8850633318569912,0.9944090220081632,-0.10934569015117201,1.8778632914633704,1.9529174589525229,-0.0750541674891525,0.0,0.0,0.0,0.0,0.0,0.0,7.3,9.6,-2.3,7.3,9.6,-2.3,0.96,0.73,23,4,4,3,71.0,935
mnist,alpha0p5,43,expert_prob,presence_prob,133745d7ef97778c,46a2684083bdfc46,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9783,0.9754,0.0028999999999999027,0.0737865501265972,0.0804436077259481,-0.006657057599350896,0.9877,0.983,0.0047000000000000375,0.929273865252314,1.0310054612421444,-0.10173159598983039,1.9099044552955828,1.9843705114176229,-0.07446605612204005,0.0,0.0,0.0,0.0,0.0,0.0,7.3,9.4,-2.1000000000000005,7.3,9.4,-2.1000000000000005,0.94,0.73,21,6,7,1,74.0,597
mnist,alpha0p5,44,expert_prob,presence_prob,23eaac99842b9e84,5d914a333007f99d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9811,0.9784,0.0026999999999999247,0.056927057863865,0.0655260225135833,-0.008598964649718308,0.9895,0.9841,0.005400000000000071,0.9427594258179084,1.0404979724013708,-0.09773854658346237,1.9179372878608247,1.9867845451513464,-0.06884725729052166,0.0,0.0,0.0,0.0,0.0,0.0,7.6,9.6,-2.0,7.6,9.6,-2.0,0.96,0.76,20,4,5,1,87.5,507
mnist,alpha1p0,42,expert_prob,presence_prob,1d5cb3fb595a35f8,7e7e1fca6df01849,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9822,0.9802,0.0020000000000000018,0.0541155442069284,0.0602755610270425,-0.006160016820114099,0.9851,0.9798,0.005299999999999971,0.9382436737286832,0.990416299200742,-0.05217262547205881,1.9163172813674605,1.952237828492988,-0.0359205471255275,0.0,0.0,0.0,0.0,0.0,0.0,8.5,10.0,-1.5,8.5,9.999999999999998,-1.4999999999999982,1.0,0.85,15,0,0,1,91.0,431
mnist,alpha1p0,43,expert_prob,presence_prob,79c4344e2806e503,97195fcc42426b11,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9816,0.9803,0.0013000000000000789,0.0574251182818785,0.0604104793943464,-0.002985361112467902,0.9871,0.9838,0.0032999999999999696,0.9909180253030828,1.036240807769066,-0.04532278246598309,1.9589615857390208,1.985116665284715,-0.026155079545694182,0.0,0.0,0.0,0.0,0.0,0.0,8.7,9.9,-1.200000000000001,8.7,9.9,-1.200000000000001,0.99,0.87,12,1,2,10,82.0,503
mnist,alpha1p0,44,expert_prob,presence_prob,18a721009ab5f2f6,b2e0f36a83d3a093,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.983,0.9825,0.0004999999999999449,0.0505428141423733,0.0547011967492522,-0.004158382606878903,0.9892,0.985,0.0041999999999999815,0.8223100100957554,0.8925601403309483,-0.07025013023519289,1.8129297105787832,1.871885072420878,-0.05895536184209482,0.0,0.0,0.0,0.0,0.0,0.0,8.3,10.0,-1.6999999999999993,8.3,9.999999999999998,-1.6999999999999975,1.0,0.83,17,0,1,5,109.0,468
mnist,iid,42,expert_prob,presence_prob,9bc82c354ac078be,7e475900f034ef1d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9845,0.9845,0.0,0.0474863140608649,0.0474863140608649,0.0,0.9848,0.9848,0.0,0.8118604848879594,0.8118604848879594,0.0,1.7897930057201752,1.7897930057201752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0,1.0,1.0,0,0,0,88,99.0,115
mnist,iid,43,expert_prob,presence_prob,a32a4765a0f13177,509e592cb96dfa9d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9829,0.9829,0.0,0.0555206500307656,0.0560070911148563,-0.00048644108409069686,0.9856,0.9851,0.000500000000000056,0.9014819640587476,0.9055659569192888,-0.004083992860541175,1.8796829777930824,1.883701675892269,-0.004018698099186535,0.0,0.0,0.0,0.0,0.0,0.0,9.8,10.0,-0.1999999999999993,9.8,9.999999999999998,-0.1999999999999975,1.0,0.98,2,0,0,88,99.0,115
mnist,iid,44,expert_prob,presence_prob,ed9d70c5453f65bd,3c6064b96d274888,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9853,0.9853,0.0,0.0466789696703665,0.0466789696703665,0.0,0.9867,0.9867,0.0,0.8286048743596872,0.8286048743596872,0.0,1.8083692594210632,1.8083692594210632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0,1.0,1.0,0,0,0,88,99.0,115
mnist,multi,42,expert_prob,presence_prob,d2eabc31aba5005e,40b6bbe423a77067,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.988,0.988,0.0,0.117843687046488,0.117843687046488,0.0,0.9978,0.9978,0.0,0.1657755963507904,0.1657755963507904,0.0,0.5068018765760975,0.5068018765760975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,442,493.5,574
mnist,multi,43,expert_prob,presence_prob,d42eca86862ebedd,18b3fb0af745b015,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.989,0.989,0.0,0.0986586462804407,0.0986586462804407,0.0,0.9982,0.9982,0.0,0.1555451717904961,0.1555451717904961,0.0,0.4927948894386776,0.4927948894386776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,442,493.5,574
mnist,multi,44,expert_prob,presence_prob,514513f25daa1b3d,e983504f18f52afe,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.987,0.987,0.0,0.1306410345173557,0.1306410345173557,0.0,0.9981,0.9981,0.0,0.1308013064927663,0.1308013064927663,0.0,0.4386234762197089,0.4386234762197089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.2,0.2,0,80,80,442,493.5,574
mnist,single,42,expert_prob,presence_prob,9cf5cccd877e965c,67a7d1f7e10ac3c3,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9854,0.9854,0.0,0.3139423278145216,0.3139423278145216,0.0,1.0,1.0,0.0,3.748534233606741e-06,3.748534233606741e-06,0.0,4.823978562574781e-05,4.823978562574781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,884,987.5,1148
mnist,single,43,expert_prob,presence_prob,27fb114f3b7d7acc,de5faf7980bb48ae,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.988,0.988,0.0,0.265626294890065,0.265626294890065,0.0,1.0,1.0,0.0,3.0393702503162515e-06,3.0393702503162515e-06,0.0,4.04892151595722e-05,4.04892151595722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,884,987.5,1148
mnist,single,44,expert_prob,presence_prob,0c88e9d2da5109c1,02cae6f369972180,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_presence.csv,0.9877,0.9877,0.0,0.3314238826915592,0.3314238826915592,0.0,1.0,1.0,0.0,1.76922698566619e-06,1.76922698566619e-06,0.0,2.450097363089091e-05,2.450097363089091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0,90,90,884,987.5,1148
