dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,iid,43,oracle_logit,feddf_logit,d7e3b9469fcd56bf,66b66282ed861eb0,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7625,0.7569,0.005599999999999938,0.7131249617576599,0.6968411563873291,0.016283805370330806,0.9542,0.7816,0.1726000000000001,1.495656109470209,1.5924936018916662,-0.09683749242145723,2.1620069356311578,2.174438754065124,-0.012431818433966235,460.0,0.0,460.0,0.046,0.0,0.046,6.6464,10.0,-3.3536,7.1064,9.999999999999998,-2.8935999999999984
cifar,iid,44,oracle_logit,feddf_logit,70c8cf0445c1420f,04de2951944865c5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7626,0.7491,0.013499999999999956,0.6976778889656067,0.7432672451972961,-0.04558935623168947,0.9506,0.7923,0.1583,1.5291408159976887,1.6108557450833247,-0.08171492908563605,2.1733306459200525,2.182206690832577,-0.00887604491252425,494.0,0.0,494.0,0.0494,0.0,0.0494,6.7879,10.0,-3.2121000000000004,7.2819,9.999999999999998,-2.718099999999998
cifar,multi,42,oracle_logit,feddf_logit,dfcb4f0cd06f2dec,2b1f3cf2af74e691,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.747,0.4399,0.3071,1.5731992031097413,1.7961317916870116,-0.22293258857727039,0.9682,0.4292,0.5389999999999999,0.7953528857083626,2.2041199782962657,-1.4087670925879032,1.6276772206398804,2.298526466647272,-0.6708492460073914,328.0,0.0,328.0,0.0328,0.0,0.0328,1.8513,10.0,-8.1487,2.1793,9.999999999999998,-7.820699999999999
cifar,multi,43,oracle_logit,feddf_logit,319503d2be798cfb,a622d7f9909526f2,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7406,0.2872,0.4534,1.5173261867523191,2.0600147983551027,-0.5426886116027836,0.9609,0.3223,0.6386000000000001,0.8311786736876063,2.217719190511478,-1.3865405168238716,1.6300568768137669,2.295768151385477,-0.66571127457171,401.0,0.0,401.0,0.0401,0.0,0.0401,1.8053,10.0,-8.194700000000001,2.2063,9.999999999999998,-7.793699999999998
cifar,multi,44,oracle_logit,feddf_logit,2da55c56165389a1,8cd7927a762a1601,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7674,0.378,0.38939999999999997,1.474454839706421,1.842877778625488,-0.36842293891906697,0.9715,0.3952,0.5763,0.7529955832811275,2.204121283243258,-1.4511256999621305,1.5848375818978782,2.2974821187078414,-0.7126445368099632,293.0,0.0,293.0,0.0293,0.0,0.0293,1.865,10.0,-8.135,2.158,9.999999999999998,-7.841999999999999
cifar,single,42,oracle_logit,feddf_logit,28bbd20b734ca0ba,5d961fd8d996b192,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7827,0.0834,0.6992999999999999,1.7387799139022828,3.129751706314087,-1.3909717924118041,1.0,0.0789,0.9211,0.3454380084591673,2.3285264305424813,-1.983088422083314,1.1749363584860764,2.294809425052991,-1.1198730665669145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,-9.0,1.0,9.999999999999998,-8.999999999999998
cifar,single,43,oracle_logit,feddf_logit,0ce85fdb9c38d1f1,016e17606ae032ce,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8018,0.1192,0.6826,1.558212961578369,2.49973550491333,-0.941522543334961,1.0,0.1122,0.8878,0.3181445951576681,2.309190689438218,-1.9910460942805501,1.1515907386505606,2.300282550086995,-1.1486918114364342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,-9.0,1.0,9.999999999999998,-8.999999999999998
cifar,single,44,oracle_logit,feddf_logit,c90017f9805aec2e,a77ff94eb714a10b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7783,0.0936,0.6847,1.839888500785828,2.4262913650512696,-0.5864028642654415,1.0,0.1011,0.8989,0.310253358283077,2.304437659988671,-1.994184301705594,1.1268682133606789,2.3007186240084168,-1.1738504106477379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,-9.0,1.0,9.999999999999998,-8.999999999999998
fmnist,alpha0p1,42,oracle_logit,feddf_logit,ac79ecf816739412,eaad1c21866e0c07,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8958,0.3887,0.5071000000000001,0.7276121450424194,3.241305366516113,-2.5136932214736936,0.9961,0.3957,0.6004,0.5770092711751933,1.8209750386768253,-1.243965767501632,1.4478253021086165,2.1612216791363275,-0.713396377027711,39.0,0.0,39.0,0.0039,0.0,0.0039,3.7962,10.0,-6.2038,3.8352,9.999999999999998,-6.164799999999998
fmnist,alpha0p1,43,oracle_logit,feddf_logit,5f6a723f7af6ec99,c01e14c52eb9457b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8984,0.6101,0.2883,0.4716526759624481,1.1971780921936035,-0.7255254162311554,0.9952,0.6615,0.3337,0.7765074518438794,1.75644935072037,-0.9799418988764906,1.745270413065184,2.221673031184081,-0.47640261811889717,49.0,0.0,49.0,0.0049,0.0,0.0049,4.1661,10.0,-5.8339,4.2151,9.999999999999998,-5.784899999999999
