dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
fmnist,alpha0p5,44,expert_prob,expert_logit,4fe5e732841bca5c,48e16bdef4ab6476,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8786,0.8745,0.0040999999999999925,0.4166844233036041,0.4330036874771118,-0.016319264173507708,0.9397,0.9417,-0.0020000000000000018,1.0386216388416214,1.006214782784981,0.0324068560566404,1.929947258204454,1.8915826063774912,0.03836465182696269,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,0.0,6.6,6.6,0.0
fmnist,alpha1p0,42,expert_prob,expert_logit,be206107d3b9963a,08383971858ae044,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8874,0.8894,-0.0020000000000000018,0.3842929750204086,0.3795952741861343,0.004697700834274288,0.9586,0.9595,-0.0009000000000000119,1.034836182053455,1.0188392367738746,0.01599694527958051,1.9279512240975885,1.9073584437920128,0.020592780305575653,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,0.0,6.3,6.3,0.0
fmnist,alpha1p0,43,expert_prob,expert_logit,b98312a1293a366c,bbaf4389c6b58903,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8868,0.8858,0.0010000000000000009,0.3831658036231994,0.4142561289787292,-0.031090325355529802,0.9532,0.9558,-0.0025999999999999357,1.0204859116563016,0.9898107389710452,0.030675172685256435,1.9165883487258173,1.8790345090096048,0.03755383971621251,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.1,0.0,7.1,7.1,0.0
fmnist,alpha1p0,44,expert_prob,expert_logit,81815007cc97fb81,5b1f4f829a4a21c7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8882,0.8866,0.0015999999999999348,0.3645029945135116,0.3692824164390564,-0.004779421925544813,0.9441,0.9439,0.000200000000000089,0.9947318411612378,0.9797476813867418,0.014984159774495964,1.8764394490048013,1.853726792203811,0.022712656800990327,0.0,0.0,0.0,0.0,0.0,0.0,7.4,7.4,0.0,7.4,7.4,0.0
fmnist,iid,42,expert_prob,expert_logit,a893354e6047afe2,d7598cdd5cdbb6e7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8889,0.8896,-0.0006999999999999229,0.3470938858985901,0.35041780731678,-0.0033239214181899346,0.9058,0.9051,0.0007000000000000339,1.0085101611818006,0.9922157776301568,0.01629438355164381,1.8598360223689687,1.831379835749652,0.028456186619316703,1000.0,1000.0,0.0,0.1,0.1,0.0,8.4,8.4,0.0,9.4,9.4,0.0
fmnist,iid,43,expert_prob,expert_logit,9f917542ec1bb40f,75d22f7938affba4,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8885,0.8881,0.00039999999999995595,0.3633231450796127,0.3615901524543762,0.001732992625236518,0.9099,0.9099,0.0,0.9423095926755356,0.9238399078165908,0.018469684858944846,1.7826279778695735,1.7477335415669764,0.03489443630259714,1000.0,1000.0,0.0,0.1,0.1,0.0,7.6,7.6,0.0,8.599999999999998,8.599999999999998,0.0
fmnist,iid,44,expert_prob,expert_logit,fdee26de7f721f8c,ef261a8a6b01fcd9,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8868,0.8859,0.0009000000000000119,0.330677905523777,0.3315754029631614,-0.0008974974393843871,0.9021,0.9014,0.0007000000000000339,1.0351135974297914,1.020962692502474,0.01415090492731741,1.881078573229309,1.8592187105590656,0.021859862670243313,1000.0,1000.0,0.0,0.1,0.1,0.0,8.0,8.0,0.0,9.0,9.0,0.0
fmnist,multi,42,expert_prob,expert_logit,1ae17f261134557f,3b53c9c6b8894bd7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9018,0.9033,-0.0014999999999999458,1.6995739265441894,1.7285046104431152,-0.028930683898925835,0.9934,0.9934,0.0,0.1276510817896113,0.1216738005081838,0.005977281281427493,0.3802350407623575,0.359837778589957,0.020397262172400454,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
fmnist,multi,43,expert_prob,expert_logit,938891f0341da58b,999235d2e3bd1c38,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.8963,0.8959,0.00039999999999995595,1.7926450607299804,1.9032822788238528,-0.11063721809387239,0.9952,0.9952,0.0,0.1348430670673133,0.1296083637603433,0.005234703306970012,0.3903763836934794,0.3704563862035199,0.019919997489959484,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
fmnist,multi,44,expert_prob,expert_logit,393db1feef47cf9d,71a2217a99f9324d,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_rq2_backup.csv,0.9028,0.8965,0.006300000000000083,1.6088323692321778,1.7329796377182007,-0.12414726848602298,0.9939,0.9943,-0.00039999999999995595,0.1518579201260208,0.1375191868224122,0.014338733303608603,0.4291062887388214,0.3844454717072887,0.044660817031532685,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
