block,dataset,regime,seed,method,proxy_size,found,valid,paired,status,reason
CE_10000,cifar,shared,44,supervised_proxy_ce,10000,1,1,1,complete,
curve_CE,cifar,shared,42,supervised_proxy_ce,100,1,1,1,complete,
curve_EXPERT,cifar,iid,42,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,iid,42,feddf_prob,100,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,42,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,42,feddf_prob,100,1,1,1,complete,
curve_EXPERT,cifar,single,42,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,single,42,feddf_prob,100,1,1,1,complete,
curve_CE,cifar,shared,42,supervised_proxy_ce,500,1,1,1,complete,
curve_EXPERT,cifar,iid,42,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,iid,42,feddf_prob,500,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,42,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,42,feddf_prob,500,1,1,1,complete,
curve_EXPERT,cifar,single,42,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,single,42,feddf_prob,500,1,1,1,complete,
curve_CE,cifar,shared,42,supervised_proxy_ce,1000,1,1,1,complete,
curve_EXPERT,cifar,iid,42,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,iid,42,feddf_prob,1000,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,42,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,42,feddf_prob,1000,1,1,1,complete,
curve_EXPERT,cifar,single,42,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,single,42,feddf_prob,1000,1,1,1,complete,
curve_CE,cifar,shared,42,supervised_proxy_ce,5000,1,1,1,complete,
curve_EXPERT,cifar,iid,42,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,iid,42,feddf_prob,5000,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,42,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,42,feddf_prob,5000,1,1,1,complete,
curve_EXPERT,cifar,single,42,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,single,42,feddf_prob,5000,1,1,1,complete,
curve_CE,cifar,shared,43,supervised_proxy_ce,100,1,1,1,complete,
curve_EXPERT,cifar,iid,43,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,iid,43,feddf_prob,100,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,43,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,43,feddf_prob,100,1,1,1,complete,
curve_EXPERT,cifar,single,43,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,single,43,feddf_prob,100,1,1,1,complete,
curve_CE,cifar,shared,43,supervised_proxy_ce,500,1,1,1,complete,
curve_EXPERT,cifar,iid,43,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,iid,43,feddf_prob,500,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,43,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,43,feddf_prob,500,1,1,1,complete,
curve_EXPERT,cifar,single,43,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,single,43,feddf_prob,500,1,1,1,complete,
curve_CE,cifar,shared,43,supervised_proxy_ce,1000,1,1,1,complete,
curve_EXPERT,cifar,iid,43,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,iid,43,feddf_prob,1000,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,43,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,43,feddf_prob,1000,1,1,1,complete,
curve_EXPERT,cifar,single,43,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,single,43,feddf_prob,1000,1,1,1,complete,
curve_CE,cifar,shared,43,supervised_proxy_ce,5000,1,1,1,complete,
curve_EXPERT,cifar,iid,43,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,iid,43,feddf_prob,5000,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,43,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,43,feddf_prob,5000,1,1,1,complete,
curve_EXPERT,cifar,single,43,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,single,43,feddf_prob,5000,1,1,1,complete,
curve_CE,cifar,shared,44,supervised_proxy_ce,100,1,1,1,complete,
curve_EXPERT,cifar,iid,44,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,iid,44,feddf_prob,100,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,44,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,44,feddf_prob,100,1,1,1,complete,
curve_EXPERT,cifar,single,44,expert_prob,100,1,1,1,complete,
curve_FedDF,cifar,single,44,feddf_prob,100,1,1,1,complete,
curve_CE,cifar,shared,44,supervised_proxy_ce,500,1,1,1,complete,
curve_EXPERT,cifar,iid,44,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,iid,44,feddf_prob,500,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,44,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,44,feddf_prob,500,1,1,1,complete,
curve_EXPERT,cifar,single,44,expert_prob,500,1,1,1,complete,
curve_FedDF,cifar,single,44,feddf_prob,500,1,1,1,complete,
curve_CE,cifar,shared,44,supervised_proxy_ce,1000,1,1,1,complete,
curve_EXPERT,cifar,iid,44,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,iid,44,feddf_prob,1000,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,44,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,44,feddf_prob,1000,1,1,1,complete,
curve_EXPERT,cifar,single,44,expert_prob,1000,1,1,1,complete,
curve_FedDF,cifar,single,44,feddf_prob,1000,1,1,1,complete,
curve_CE,cifar,shared,44,supervised_proxy_ce,5000,1,1,1,complete,
curve_EXPERT,cifar,iid,44,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,iid,44,feddf_prob,5000,1,1,1,complete,
curve_EXPERT,cifar,alpha0p1,44,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,alpha0p1,44,feddf_prob,5000,1,1,1,complete,
curve_EXPERT,cifar,single,44,expert_prob,5000,1,1,1,complete,
curve_FedDF,cifar,single,44,feddf_prob,5000,1,1,1,complete,
