block,dataset,regime,seed,method,proxy_size,found,valid,paired,status,reason
baseline,mnist,multi,42,feddf_logit,10000,1,1,1,complete,
baseline,mnist,multi,42,oracle_logit,10000,1,1,1,complete,
presence,mnist,multi,42,presence_prob,10000,1,1,1,complete,
baseline,mnist,multi,43,feddf_prob,10000,1,1,1,complete,
baseline,mnist,multi,43,expert_prob,10000,1,1,1,complete,
baseline,mnist,multi,43,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,multi,43,oracle_prob,10000,1,1,1,complete,
baseline,mnist,multi,43,feddf_logit,10000,1,1,1,complete,
baseline,mnist,multi,43,oracle_logit,10000,1,1,1,complete,
presence,mnist,multi,43,presence_prob,10000,1,1,1,complete,
baseline,mnist,multi,44,feddf_prob,10000,1,1,1,complete,
baseline,mnist,multi,44,expert_prob,10000,1,1,1,complete,
baseline,mnist,multi,44,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,multi,44,oracle_prob,10000,1,1,1,complete,
baseline,mnist,multi,44,feddf_logit,10000,1,1,1,complete,
baseline,mnist,multi,44,oracle_logit,10000,1,1,1,complete,
presence,mnist,multi,44,presence_prob,10000,1,1,1,complete,
baseline,mnist,single,42,feddf_prob,10000,1,1,1,complete,
baseline,mnist,single,42,expert_prob,10000,1,1,1,complete,
baseline,mnist,single,42,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,single,42,oracle_prob,10000,1,1,1,complete,
baseline,mnist,single,42,feddf_logit,10000,1,1,1,complete,
baseline,mnist,single,42,oracle_logit,10000,1,1,1,complete,
presence,mnist,single,42,presence_prob,10000,1,1,1,complete,
baseline,mnist,single,43,feddf_prob,10000,1,1,1,complete,
baseline,mnist,single,43,expert_prob,10000,1,1,1,complete,
baseline,mnist,single,43,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,single,43,oracle_prob,10000,1,1,1,complete,
baseline,mnist,single,43,feddf_logit,10000,1,1,1,complete,
baseline,mnist,single,43,oracle_logit,10000,1,1,1,complete,
presence,mnist,single,43,presence_prob,10000,1,1,1,complete,
baseline,mnist,single,44,feddf_prob,10000,1,1,1,complete,
baseline,mnist,single,44,expert_prob,10000,1,1,1,complete,
baseline,mnist,single,44,expert_prob_sr,10000,1,1,1,complete,
baseline,mnist,single,44,oracle_prob,10000,1,1,1,complete,
baseline,mnist,single,44,feddf_logit,10000,1,1,1,complete,
baseline,mnist,single,44,oracle_logit,10000,1,1,1,complete,
presence,mnist,single,44,presence_prob,10000,1,1,1,complete,
baseline,fmnist,iid,42,feddf_prob,10000,1,1,1,complete,
baseline,fmnist,iid,42,expert_prob,10000,1,1,1,complete,
baseline,fmnist,iid,42,expert_prob_sr,10000,1,1,1,complete,
baseline,fmnist,iid,42,oracle_prob,10000,1,1,1,complete,
baseline,fmnist,iid,42,feddf_logit,10000,1,1,1,complete,
baseline,fmnist,iid,42,oracle_logit,10000,1,1,1,complete,
presence,fmnist,iid,42,presence_prob,10000,1,1,1,complete,
baseline,fmnist,iid,43,feddf_prob,10000,1,1,1,complete,
baseline,fmnist,iid,43,expert_prob,10000,1,1,1,complete,
baseline,fmnist,iid,43,expert_prob_sr,10000,1,1,1,complete,
baseline,fmnist,iid,43,oracle_prob,10000,1,1,1,complete,
baseline,fmnist,iid,43,feddf_logit,10000,1,1,1,complete,
baseline,fmnist,iid,43,oracle_logit,10000,1,1,1,complete,
presence,fmnist,iid,43,presence_prob,10000,1,1,1,complete,
baseline,fmnist,iid,44,feddf_prob,10000,1,1,1,complete,
baseline,fmnist,iid,44,expert_prob,10000,1,1,1,complete,
baseline,fmnist,iid,44,expert_prob_sr,10000,1,1,1,complete,
baseline,fmnist,iid,44,oracle_prob,10000,1,1,1,complete,
baseline,fmnist,iid,44,feddf_logit,10000,1,1,1,complete,
baseline,fmnist,iid,44,oracle_logit,10000,1,1,1,complete,
presence,fmnist,iid,44,presence_prob,10000,1,1,1,complete,
baseline,fmnist,alpha1p0,42,feddf_prob,10000,1,1,1,complete,
baseline,fmnist,alpha1p0,42,expert_prob,10000,1,1,1,complete,
baseline,fmnist,alpha1p0,42,expert_prob_sr,10000,1,1,1,complete,
baseline,fmnist,alpha1p0,42,oracle_prob,10000,1,1,1,complete,
baseline,fmnist,alpha1p0,42,feddf_logit,10000,1,1,1,complete,
baseline,fmnist,alpha1p0,42,oracle_logit,10000,1,1,1,complete,
