dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,iid,43,feddf_prob,feddf_logit,e87c11f117ac21ff,66b66282ed861eb0,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7615,0.7569,0.0045999999999999375,0.6973574625968934,0.6968411563873291,0.0005163062095642212,0.7827,0.7816,0.0010999999999999899,1.5913698524649196,1.5924936018916662,-0.0011237494267466452,2.1760931220498123,2.174438754065124,0.0016543679846883208,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,iid,44,feddf_prob,feddf_logit,fa2bcb5db7319c76,04de2951944865c5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7471,0.7491,-0.0020000000000000018,0.7422387187004089,0.7432672451972961,-0.0010285264968872276,0.7951,0.7923,0.0028000000000000247,1.6115981178102532,1.6108557450833247,0.000742372726928453,2.1841124427676046,2.182206690832577,0.001905751935027844,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,multi,42,feddf_prob,feddf_logit,faf19ceb1b28e46e,2b1f3cf2af74e691,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.5142,0.4399,0.07429999999999998,1.4455529586791993,1.7961317916870116,-0.35057883300781234,0.5249,0.4292,0.09570000000000001,2.063125837837762,2.2041199782962657,-0.14099414045850356,2.2824704548036423,2.298526466647272,-0.01605601184362948,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,multi,43,feddf_prob,feddf_logit,713d6b6a6dec828d,a622d7f9909526f2,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.423,0.2872,0.13579999999999998,1.660233941078186,2.0600147983551027,-0.3997808572769168,0.4504,0.3223,0.12810000000000005,2.090846723859656,2.217719190511478,-0.12687246665182172,2.282941970565186,2.295768151385477,-0.012826180820290745,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,multi,44,feddf_prob,feddf_logit,b37afb16cfc0a581,8cd7927a762a1601,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.5097,0.378,0.13170000000000004,1.3987098165512084,1.842877778625488,-0.44416796207427955,0.5172,0.3952,0.122,2.051875850729945,2.204121283243258,-0.1522454325133129,2.280152903554469,2.2974821187078414,-0.017329215153372157,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,single,42,feddf_prob,feddf_logit,dcc1cd8b8d9e76db,5d961fd8d996b192,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.0844,0.0834,0.0010000000000000009,2.788810957336426,3.129751706314087,-0.340940748977661,0.0861,0.0789,0.007199999999999998,2.319675674428428,2.3285264305424813,-0.008850756114053393,2.2964527709495712,2.294809425052991,0.0016433458965803283,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,single,43,feddf_prob,feddf_logit,30fad745b10be4d3,016e17606ae032ce,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.1064,0.1192,-0.012800000000000006,2.540905977630615,2.49973550491333,0.04117047271728502,0.1092,0.1122,-0.002999999999999989,2.306377824902013,2.309190689438218,-0.0028128645362053284,2.298976523619168,2.300282550086995,-0.0013060264678266265,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
cifar,single,44,feddf_prob,feddf_logit,b60b5aaedfc63c0a,a77ff94eb714a10b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.0934,0.0936,-0.00020000000000000573,2.508219227600098,2.4262913650512696,0.08192786254882822,0.0945,0.1011,-0.006599999999999995,2.3081798857859765,2.304437659988671,0.003742225797305654,2.298857668166936,2.3007186240084168,-0.001860955841480827,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
fmnist,alpha0p1,42,feddf_prob,feddf_logit,d9e89fd40a0db3ea,eaad1c21866e0c07,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.4799,0.3887,0.0912,1.2675213376998902,3.241305366516113,-1.973784028816223,0.5249,0.3957,0.12920000000000004,1.5635469043124448,1.8209750386768253,-0.2574281343643805,2.121057959195118,2.1612216791363275,-0.040163719941209486,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
fmnist,alpha0p1,43,feddf_prob,feddf_logit,0f339439e469a9ed,c01e14c52eb9457b,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.699,0.6101,0.08889999999999998,0.8512351243972779,1.1971780921936035,-0.3459429677963256,0.7327,0.6615,0.07120000000000004,1.569219488744456,1.75644935072037,-0.18722986197591407,2.1718788289751187,2.221673031184081,-0.04979420220896236,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,9.999999999999998,9.999999999999998,0.0
