block,expected,found,valid,paired,pending
teachers_masks,54,54,54,54,0
baseline,324,324,324,324,0
presence,54,54,54,54,0
CE_10000,9,9,9,9,0
curve_CE,12,12,12,12,0
curve_EXPERT,36,36,36,36,0
curve_FedDF,36,36,36,36,0
