dataset,regime,seed,left,right,run_id_left,run_id_right,input_file_left,input_file_right,student_test_accuracy_left,student_test_accuracy_right,delta_student_test_accuracy,student_test_nll_left,student_test_nll_right,delta_student_test_nll,target_accuracy_left,target_accuracy_right,delta_target_accuracy,target_nll_left,target_nll_right,delta_target_nll,target_entropy_left,target_entropy_right,delta_target_entropy,fallback_count_left,fallback_count_right,delta_fallback_count,fallback_rate_left,fallback_rate_right,delta_fallback_rate,mean_selected_teachers_left,mean_selected_teachers_right,delta_mean_selected_teachers,effective_teachers_left,effective_teachers_right,delta_effective_teachers
cifar,iid,43,expert_prob_sr,expert_prob,b91bf6f15b0520dd,732fa36ec846a6f7,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.6969,0.7609,-0.06400000000000006,3.283147610473633,0.742044600391388,2.541103010082245,0.9259,0.8183,0.10759999999999992,1.0154268761426737,1.500048393402514,-0.48462151725984026,1.7678188329876396,2.1448883830815526,-0.37706955009391296,1000.0,1000.0,0.0,0.1,0.1,0.0,4.7,4.7,0.0,5.7,5.7,0.0
cifar,iid,44,expert_prob_sr,expert_prob,6b6e54aac0100371,f048d10da4d4f8c5,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.6964,0.7501,-0.05369999999999997,2.980053644180298,0.7439198655128479,2.23613377866745,0.93,0.8219,0.10810000000000008,1.096774737531452,1.5625314945492446,-0.4657567570177925,1.8466707879682107,2.1693333030041497,-0.322662515035939,1000.0,1000.0,0.0,0.1,0.1,0.0,5.2,5.2,0.0,6.2,6.2,0.0
cifar,multi,42,expert_prob_sr,expert_prob,63cb0042b37a39fd,e45d743ef17dcac0,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.747,0.7485,-0.0015000000000000568,5.470599186706543,1.5690236114501954,3.9015755752563472,0.9425,0.942,0.000500000000000056,0.4194302707471702,0.774684495313124,-0.3552542245659538,0.6138848669211681,1.6246264559525458,-1.0107415890313778,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
cifar,multi,43,expert_prob_sr,expert_prob,792d725e8dad193e,cccf669675b00118,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7229,0.7377,-0.014800000000000035,6.052604336547852,1.588653736114502,4.463950600433351,0.9264,0.9265,-9.999999999998899e-05,0.4467513041977416,0.8099299222557768,-0.36317861805803514,0.6241654794175286,1.629249439199916,-1.0050839597823873,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
cifar,multi,44,expert_prob_sr,expert_prob,32eb9c6244b07d5b,c75c2a10a08cf2fd,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7436,0.7667,-0.02310000000000001,5.646880262756348,1.5695095485687256,4.077370714187622,0.9474,0.9474,0.0,0.4081520884652433,0.7364628298630538,-0.32831074139781047,0.6105379143227073,1.5782369921977493,-0.967699077875042,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
cifar,single,42,expert_prob_sr,expert_prob,054560e06a5eca83,f384e4ed50945edc,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.786,0.7827,0.0033000000000000806,5.506922094726563,1.7387799139022828,3.76814218082428,1.0,1.0,0.0,-0.0,0.3454380084591673,-0.3454380084591673,-0.0,1.1749363584860764,-1.1749363584860764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
cifar,single,43,expert_prob_sr,expert_prob,209815128fc8fe36,9d78cd505aef877c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8003,0.8018,-0.0014999999999999458,5.118799186706543,1.558212961578369,3.5605862251281737,1.0,1.0,0.0,-0.0,0.3181445951576681,-0.3181445951576681,-0.0,1.1515907386505606,-1.1515907386505606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
cifar,single,44,expert_prob_sr,expert_prob,9b17057e89931026,5284426a3da466ef,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.7937,0.7783,0.01539999999999997,5.357067973327637,1.839888500785828,3.517179472541809,1.0,1.0,0.0,-0.0,0.310253358283077,-0.310253358283077,-0.0,1.1268682133606789,-1.1268682133606789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
fmnist,alpha0p1,42,expert_prob_sr,expert_prob,7445a77f2eaba59f,f003b578acbead11,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8851,0.8977,-0.012600000000000056,1.3527257932662964,0.5442288514614105,0.8084969418048858,0.9985,0.9944,0.0041000000000001036,0.5064056440802028,0.7653004349788436,-0.25889479089864076,1.2730325989301858,1.7517848960329214,-0.4787522971027356,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,3.5,3.5,0.0
fmnist,alpha0p1,43,expert_prob_sr,expert_prob,347239177a9e6dfd,89b7a98af918a190,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8779,0.894,-0.016100000000000003,1.2659784241199494,0.4541786133289337,0.8117998107910157,0.9983,0.9934,0.0049000000000000155,0.5494399430466876,0.8561923499609259,-0.3067524069142382,1.3505262650537382,1.8190037290807028,-0.46847746402696466,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,0.0,3.8,3.8,0.0
fmnist,alpha0p1,44,expert_prob_sr,expert_prob,4be9e2408b94c0cb,0319b4e50dba203c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8926,0.8941,-0.0015000000000000568,1.0960302507400512,0.5301061787128448,0.5659240720272064,0.9944,0.9874,0.006999999999999895,0.62627620459903,0.880189226585599,-0.25391302198656895,1.5048052829783969,1.853686467433205,-0.3488811844548081,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,0.0,4.2,4.2,0.0
fmnist,alpha0p5,42,expert_prob_sr,expert_prob,edd7c54fe864b2a9,a94e698fa3ce41b2,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8912,0.8968,-0.005600000000000049,0.6990519134521485,0.3631809852600097,0.33587092819213876,0.9847,0.9692,0.01550000000000007,0.8043843195308863,1.048163690914879,-0.24377937138399275,1.7368567964179673,1.9594785655630804,-0.2226217691451131,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0
fmnist,alpha0p5,43,expert_prob_sr,expert_prob,e7bd87226c652046,a9382d7e110e1b4f,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8748,0.8915,-0.016699999999999937,1.30000802898407,0.3744296416997909,0.9255783872842791,0.9833,0.9531,0.030200000000000005,0.7315828775201566,1.0695800526396888,-0.3379971751195322,1.6049838160513377,1.949756345254559,-0.3447725292032213,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,0.0,5.7,5.7,0.0
fmnist,alpha0p5,44,expert_prob_sr,expert_prob,d402586b0ab9b100,4fe5e732841bca5c,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8758,0.8786,-0.0028000000000000247,0.9006833738327026,0.4166844233036041,0.48399895052909847,0.9699,0.9397,0.030200000000000005,0.8013933053791177,1.0386216388416214,-0.23722833346250372,1.716823276921791,1.929947258204454,-0.21312398128266286,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,0.0,6.6,6.6,0.0
fmnist,alpha1p0,42,expert_prob_sr,expert_prob,e59b5e501645941b,be206107d3b9963a,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,/home/roi/PycharmProjects/KD_v5/OUTPUTS/article1_v3/results_baseline.csv,0.8833,0.8874,-0.0040999999999999925,1.132607513809204,0.3842929750204086,0.7483145387887954,0.9888,0.9586,0.030200000000000005,0.733717568438548,1.034836182053455,-0.3011186136149071,1.6637667806952507,1.9279512240975885,-0.2641844434023377,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,0.0,6.3,6.3,0.0
