dataset,regime,seed,M_density,classes_without_expert,proxy_coverage,fallback_count,mean_selected_teachers,cache_sha256,M_sha256,proxy_sha256,proxy_labels_sha256,teachers_sha256,artifact_creation_commit
mnist,multi,43,0.2,[],1.0,0,2.0,ab3fe9d7045f342f924b2635027b6e7e98aedd53875b0bb9bb2ed05a70bea231,ce4b9886dc3da23c4ec80937dca96608fe5f8454c6299680143dd031516e5403,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,8e7e70b7a70ff2616a03dbd4b702b195a185ebc65430cfdc9a03bb76e6928766,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,multi,44,0.2,[],1.0,0,2.0,e00f27b557db655dd0a0aada07c39075616fd95678bd62130f3d170502d068a2,ce4b9886dc3da23c4ec80937dca96608fe5f8454c6299680143dd031516e5403,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,ae9fb4bacdd335c6e02c364ee58972625b9a70b8f849d8a13dd0195f74b5ecf6,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,single,42,0.1,[],1.0,0,1.0,b5b53cb4ddb7392674cbb61f9a3f87565d7efa226164b2234b4d3d25ed2ccc8a,e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,3552bcdc8c0a30bf9f0c55af78280333a8b35a316372c779e125387e9084357d,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,single,43,0.1,[],1.0,0,1.0,a9ca4e4e309199cb5e678efb6ee0c82e505303b6e94aaa64eb073f8edb7ba586,e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,7f93687a31d849d1b0cd500c08c9b1024034ac2e0fb7883d2bdce3d4b5dbf80c,7ec812be75663f47fb1c9726f93e3688d8b157f3
mnist,single,44,0.1,[],1.0,0,1.0,903d5c20c5303780503007d818c6635a60e9ae7c6dca69bec9c12960238a9504,e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,b14a9d2fc9d7f41b3efe0e2938d8fde02ef8e67068ac0cff38aa3400df834fe4,7ec812be75663f47fb1c9726f93e3688d8b157f3
fmnist,iid,42,0.84,[6],0.9,1000,8.4,11f2a57ac7ab8b260a04aee442bd9113ffd4c757a1885314e2713bc07532585d,057549e5b22e8d5a5258dac530d5e87654ab28b81ca368095db268cba296593a,aa87fb2b4d24946ad5c94ef0f1a84aade8c60c333a8e794e81c010e4a202506a,1f50734fff13fb3a38b67f2458855d5abf7c3f2c44e5854886e8419c50ebe421,d56df31da18e706358ae34c64d66378a54390deb19dca52c7858076cc127389f,7ec812be75663f47fb1c9726f93e3688d8b157f3
fmnist,iid,43,0.76,[6],0.9,1000,7.6,d2db20c014f018c6d1b499dc41833e16ffd868b260b44a02cae77e851d26d72b,825876b0d474d45d9bc98df9d6cc7479d12957ac856cbd1f3b3b7efd3c8e55a7,8c10e8dabb252578e55d8ceadb12f9b772d83f07a663edb06566b4924cf6d961,eecbcffdb3e52099e26ebd2485d479a2553a52a6901356aed1ef3b69e9218818,23132553eaa2d304d16c6dd16a5632f1291b702399ad526be43ff5538c3b7b86,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,iid,44,0.8,[6],0.9,1000,8.0,e7169a2b15de5fbd761d720bd03abf6b7e5caa82f9359dd3848268d4aebf693c,9ddda7b4e88c4257d9e04a7ec98f634bb22469cbe3da21d3243126fbec3889cc,56169d4fdedbe0732b5f4cc31ed6d66f01e7e1069f3e908130357af6f5652296,a25cfd1d4a95d4f7a5edf37eefaaa8cfce5b3a5a5bd3b7fc84fc495052c80a57,7cec8cc20525dae28779cb0408513ee294a96f8956690f7baf361aa4fca81e2a,7ff045e85bdcdcb19da695baf49045e3320a14d4
fmnist,alpha1p0,42,0.63,[],1.0,0,6.3,eb662a1351013584635740f166236c6183703e915024b589fe4f7cb6ef40e271,45161d3d81583743f3ef8a7f856a947d65089dceebaae90382edbb9449e69ad1,aa87fb2b4d24946ad5c94ef0f1a84aade8c60c333a8e794e81c010e4a202506a,1f50734fff13fb3a38b67f2458855d5abf7c3f2c44e5854886e8419c50ebe421,ecf0796e80539147cf597e0492ed5421e424af45bb8c6f06492f6e5942726439,7ec812be75663f47fb1c9726f93e3688d8b157f3
fmnist,alpha1p0,43,0.71,[],1.0,0,7.1,73def971a2a1c29fdabc16124b77beb9011e4be4eb24fbaacd07c4bab9143525,cca1df8b70663f0f4e33e98b1ddae9913b8913e88f4d6a8609494e7039c28b6c,8c10e8dabb252578e55d8ceadb12f9b772d83f07a663edb06566b4924cf6d961,eecbcffdb3e52099e26ebd2485d479a2553a52a6901356aed1ef3b69e9218818,3f41b3f031a5d09d729f54a8321123d2c42cf97d2a0cb86b52381e3eed57f81e,7ff045e85bdcdcb19da695baf49045e3320a14d4
