dataset,regime,seed,M_density,classes_without_expert,proxy_coverage,fallback_count,mean_selected_teachers,cache_sha256,M_sha256,proxy_sha256,proxy_labels_sha256,teachers_sha256,artifact_creation_commit
cifar,alpha0p5,43,0.36,[],1.0,0,3.6,3c758e02bde055cf00d2396e9bb9a8600ce98dae355c6c1362d2eae1150220f2,f74c4e886f1bb9d5e5a81465e5ef7f9055ac94c042b4a7036b184efd4e860f9d,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,2fc598647e0765fbcc47fdbb6f9a524d5ad90605bf3bfc42e96fe6412ab5aefc,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,alpha0p5,44,0.4,[],1.0,0,4.0,7f55bb4b9d019ca487a2b41eb1894bceaf615cbbadd0fea2a9c7816fcf7393b5,56af34dea0ba5c81cb73823e3b755b68c73e3e679efb7421d3f8eca00bbf26ef,bb299879f6f7c5c2039d6b8d2a92bcc4d9457d5113e2928c6257cbe8e8881cd5,bbbb2fd925f2d965ef63c9d3518f3862a6f0d89340e133b6232a70cc41007adf,0b3c3d7648649db7c7cadfaa0db3fec7ae9dc5e4f8623a0d31560f679ff24fe9,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,alpha0p1,42,0.24,[],1.0,0,2.4,131d0b9efcd1c7294a6cc1cf94110c75b2bab77a718c2909d085900d8a7a96f6,34f84e2343874e1a7b9b815529aa22768f81a356597ec5e338c60b3904ca2c75,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,390c6fe8c5e8a9f6f141b19b73a9f8591818896b9379163cea58e51e5fe53871,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,alpha0p1,43,0.24,[],1.0,0,2.4,cc524a8ddd5e02a659e62aedf04a4b8066364d34da98c377c658ce77c4fab266,ad0320c63be8b9c50a5e28d376bbbd9e9c5f13fb47ba0982501f08b414baf9c6,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,3fa7ad6dc652a506ec081fa7f40e1603e3ba27591370aa88c8283da91f8c79bb,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,alpha0p1,44,0.3,[],1.0,0,3.0,89288c8820f0afac2817cce5320a371303b0aabae735b81c82db7a423f39650a,cecf6fdcbdfae1fae44fbbe05658d49421ee7dab96cd38570c6de368e9311c01,bb299879f6f7c5c2039d6b8d2a92bcc4d9457d5113e2928c6257cbe8e8881cd5,bbbb2fd925f2d965ef63c9d3518f3862a6f0d89340e133b6232a70cc41007adf,d86e3ff7f861ffca9c4f54255eb64534f501d2c0c72a42709e4545277533dd48,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,multi,42,0.2,[],1.0,0,2.0,cda92e09f816aadc89145939b2cfdec713c27790786ec486e5e9906a86ce436e,ce4b9886dc3da23c4ec80937dca96608fe5f8454c6299680143dd031516e5403,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,7e91520cd1bd3704fa0ee1d4288474940cf632512f97a1f3747e55da92212b9d,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,multi,43,0.2,[],1.0,0,2.0,670b210c0ef259ea1ea9a6b1b3fdea4af4bc44de1948cf723cedd6dbb171ed70,ce4b9886dc3da23c4ec80937dca96608fe5f8454c6299680143dd031516e5403,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,c35f7ba94ba3e08fbba93c89692cce1d1648dd89c05e98abceb6fcdf14446e02,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,multi,44,0.2,[],1.0,0,2.0,5bd19ee96bf1557b01d3bf320e476e204611802733314de77baee1370dd372a6,ce4b9886dc3da23c4ec80937dca96608fe5f8454c6299680143dd031516e5403,bb299879f6f7c5c2039d6b8d2a92bcc4d9457d5113e2928c6257cbe8e8881cd5,bbbb2fd925f2d965ef63c9d3518f3862a6f0d89340e133b6232a70cc41007adf,520389a5afef8c0a4db5b17e98166fc7f7190e0972ec4465ebcad2dbdb476a2d,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,single,42,0.1,[],1.0,0,1.0,df8172495f9d3fae3dc1d602b20cc4278ee8df7d87c004ad0754949c37f0bc7f,e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,66af2fbb33f1e089245500600db030610ac3b47e91dba7cbb7dbf193a5c1ef13,117be76002e0123f5252e2b78c50cbfb9fcbe971247b5af9c3e1b9dfba92df89,3867acffc2f48d359081df3a4703de65ff12b3b826addc68f3431f3d874fbb34,7ff045e85bdcdcb19da695baf49045e3320a14d4
cifar,single,43,0.1,[],1.0,0,1.0,b0e774132de58204419c2668a7ac2df2bbceb888e21808d3fb6686e76d27e693,e6f1e0016bd69e5208d7779bafd908447f0ffbf5bd505201465dc3d9494ee864,bed4be8cbbddf6b7e019ee5f865d0201821d40925ca2b78a28d00ef0bde4d7bb,70730ee6b1ff4436096773eaa579a3febb5bee8fe240bc9c1038b82de74afdcb,2d8c70f38b25db3f17dc09a20aa454563e3ec26c177e10ad52e9897880be538e,7ff045e85bdcdcb19da695baf49045e3320a14d4
