dataset,regime,method,metric,mean,sd,n,seeds
mnist,single,feddf_prob,student_test_nll,2.3025853771209714,1.2673477408312629e-05,3,"42,43,44"
mnist,single,expert_prob,student_test_accuracy,98.70333333333333,0.1422439219556762,3,"42,43,44"
mnist,single,expert_prob,student_test_nll,0.30366416846538197,0.03408168217427897,3,"42,43,44"
mnist,single,expert_prob_sr,student_test_accuracy,98.76333333333335,0.061101009266075985,3,"42,43,44"
mnist,single,expert_prob_sr,student_test_nll,0.2839577068885761,0.038392728754341736,3,"42,43,44"
mnist,single,oracle_prob,student_test_accuracy,98.70333333333333,0.1422439219556762,3,"42,43,44"
mnist,single,oracle_prob,student_test_nll,0.30366416846538197,0.03408168217427897,3,"42,43,44"
mnist,single,feddf_logit,student_test_accuracy,10.216666666666667,0.10969655114602885,3,"42,43,44"
mnist,single,feddf_logit,student_test_nll,6.214551177215576,2.4206309809652056,3,"42,43,44"
mnist,single,oracle_logit,student_test_accuracy,98.70333333333333,0.1422439219556762,3,"42,43,44"
mnist,single,oracle_logit,student_test_nll,0.30366416846538197,0.03408168217427897,3,"42,43,44"
fmnist,iid,feddf_prob,student_test_accuracy,88.74000000000001,0.1969771560359235,3,"42,43,44"
fmnist,iid,feddf_prob,student_test_nll,0.34665451862414676,0.015545840131767578,3,"42,43,44"
fmnist,iid,expert_prob,student_test_accuracy,88.80666666666667,0.11150485789118303,3,"42,43,44"
fmnist,iid,expert_prob,student_test_nll,0.3470316455006599,0.01632270877687971,3,"42,43,44"
fmnist,iid,expert_prob_sr,student_test_accuracy,87.54333333333332,0.33020195840324,3,"42,43,44"
fmnist,iid,expert_prob_sr,student_test_nll,1.4266179936726886,0.2540990800407197,3,"42,43,44"
fmnist,iid,oracle_prob,student_test_accuracy,89.40666666666667,0.2112660250332069,3,"42,43,44"
fmnist,iid,oracle_prob,student_test_nll,0.3278566673437754,0.019120545494043854,3,"42,43,44"
fmnist,iid,feddf_logit,student_test_accuracy,88.77000000000001,0.24576411454888838,3,"42,43,44"
fmnist,iid,feddf_logit,student_test_nll,0.3465636831323305,0.014864545158053086,3,"42,43,44"
fmnist,iid,oracle_logit,student_test_accuracy,89.33999999999999,0.3724244889907204,3,"42,43,44"
fmnist,iid,oracle_logit,student_test_nll,0.3267429481903712,0.017486646038611064,3,"42,43,44"
fmnist,alpha1p0,feddf_prob,student_test_accuracy,87.76333333333332,0.2098412098071619,3,"42,43,44"
fmnist,alpha1p0,feddf_prob,student_test_nll,0.3531983311573664,0.00600250503303619,3,"42,43,44"
fmnist,alpha1p0,expert_prob,student_test_accuracy,88.74666666666667,0.07023769168568299,3,"42,43,44"
fmnist,alpha1p0,expert_prob,student_test_nll,0.3773205910523732,0.011114662145762661,3,"42,43,44"
fmnist,alpha1p0,expert_prob_sr,student_test_accuracy,88.46,0.17578395831247315,3,"42,43,44"
fmnist,alpha1p0,expert_prob_sr,student_test_nll,1.0259948998769124,0.10006072852016515,3,"42,43,44"
fmnist,alpha1p0,oracle_prob,student_test_accuracy,89.62333333333333,0.07767453465154245,3,"42,43,44"
fmnist,alpha1p0,oracle_prob,student_test_nll,0.30972708880901334,0.0030431664917572954,3,"42,43,44"
fmnist,alpha1p0,feddf_logit,student_test_accuracy,86.87666666666667,1.4911852109424006,3,"42,43,44"
fmnist,alpha1p0,feddf_logit,student_test_nll,0.3785793659528096,0.03379097230137615,3,"42,43,44"
fmnist,alpha1p0,oracle_logit,student_test_accuracy,89.55000000000001,0.12767145334803995,3,"42,43,44"
fmnist,alpha1p0,oracle_logit,student_test_nll,0.3169430905063947,0.00369655160678317,3,"42,43,44"
