seed,proxy_size,run_id_right,student_test_accuracy_right,student_test_nll_right
42,100,3190d167404745bc509343a87d34eebe5d3b6ac0d91cf99f6dacd194f80e27d2,0.3383,2.8901977760314943
42,500,8588a035240f3e55cc608d8502f0a5dd28526507f2be33057aec4d53bba595af,0.4602,2.269878453063965
42,1000,25c35af941cbfc761e2daf27bb6e78580600ef827a220c61f0fe1b57cab972c3,0.5467,1.8780779983520508
42,5000,d7c5b54faf0ee7155969a97c2e17988830842bfd5ed7ccfda682067a4aaeb488,0.7269,1.178120182800293
42,10000,86df58e23b62e62d03cb117d777ae2877b2827b4e3f6545b30ce0f318f774c5d,0.7938,0.8560695510864258
43,100,f0d05d7d758b709ca01be4ebab7177c8e819a1f7561e33f01c01c46e980675ac,0.3285,3.044557247543335
43,500,450e462119cb17304e21faa68f811d1e5c52cf02f38f316c95121c157a695aa9,0.4772,2.2077495231628417
43,1000,b53329337dec2e2d74ae59e1cfc8526cdac0d3c9c5e10f4306a2c2a48da5cd41,0.5494,2.050018885421753
43,5000,c3cbb69fb5477a426c5f3fac47c6578b5e3fcb06cf655bb618f41b0df5726d2b,0.7301,1.2131696081161498
43,10000,ac4135f3c066f8e1019694dd1f0fec40ed9a2e2af237b678cbe161af161c1752,0.7895,0.9055568433761596
44,100,32f68ec1925440db9cabf3ee078a8438df26b658587de1040cdf76a952e07ae3,0.3229,2.986520663070679
44,500,aa3db1f22e84b901e59edcce5f009d15815887a6c7b9c6dd0debe41e58138b51,0.4684,2.260470207977295
44,1000,5f7d74246d0e567e82f2ee2f096e75b7a55bb28a0408f99c1b8263bd37d2ab3d,0.5453,2.031869733428956
44,5000,81888981caf8bf3e9cae0c2e32c58d8c1bd65fcfbc2b6c702cc9ec3ee3e93350,0.7269,1.2266300662994385
44,10000,40406ef0ff2512ec401c531613c69f7a80085603c57c26621d5970bf58eee3a5,0.7871,0.864531807231903
