dataset,regime,method,metric,mean,n,seeds,source
mnist,multi,feddf_logit,student_test_accuracy,0.39953333333333335,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,feddf_prob,student_test_accuracy,0.5532333333333332,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,oracle_logit,student_test_accuracy,0.9880333333333334,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,oracle_prob,student_test_accuracy,0.9881666666666666,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,expert_prob,student_test_accuracy,0.988,3,"42,43,44",published absolute anchor
mnist,multi,expert_prob_sr,student_test_accuracy,0.9845333333333334,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,supervised_proxy_ce,student_test_accuracy,0.9862333333333334,3,"42,43,44",published absolute anchor
mnist,multi,feddf_logit,student_test_nll,3.491889717992146,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,feddf_prob,student_test_nll,1.1688975114504494,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,oracle_logit,student_test_nll,0.1213341123546512,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,oracle_prob,student_test_nll,0.11062492334099461,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,expert_prob,student_test_nll,0.1157144559480948,3,"42,43,44",published absolute anchor
mnist,multi,expert_prob_sr,student_test_nll,0.2932440236808071,3,"42,43,44",absolute anchor plus paired mean differences
mnist,multi,supervised_proxy_ce,student_test_nll,0.049376982656603,3,"42,43,44",published absolute anchor
mnist,single,feddf_logit,student_test_accuracy,0.10216666666666642,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,feddf_prob,student_test_accuracy,0.09973333333333312,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,oracle_logit,student_test_accuracy,0.9870333333333332,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,oracle_prob,student_test_accuracy,0.9870333333333332,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,expert_prob,student_test_accuracy,0.9870333333333332,3,"42,43,44",published absolute anchor
mnist,single,expert_prob_sr,student_test_accuracy,0.9876333333333331,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,supervised_proxy_ce,student_test_accuracy,0.9862333333333334,3,"42,43,44",published absolute anchor
mnist,single,feddf_logit,student_test_nll,6.214551177215576,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,feddf_prob,student_test_nll,2.3025853771209714,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,oracle_logit,student_test_nll,0.3036641684653819,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,oracle_prob,student_test_nll,0.3036641684653819,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,expert_prob,student_test_nll,0.3036641684653819,3,"42,43,44",published absolute anchor
mnist,single,expert_prob_sr,student_test_nll,0.28395770688857613,3,"42,43,44",absolute anchor plus paired mean differences
mnist,single,supervised_proxy_ce,student_test_nll,0.049376982656603,3,"42,43,44",published absolute anchor
fmnist,iid,feddf_logit,student_test_accuracy,0.8877,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,feddf_prob,student_test_accuracy,0.8874000000000001,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,oracle_logit,student_test_accuracy,0.8934,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,oracle_prob,student_test_accuracy,0.8940666666666667,3,"42,43,44",absolute anchor plus paired mean differences
fmnist,iid,expert_prob,student_test_accuracy,0.8880666666666667,3,"42,43,44",published absolute anchor
fmnist,iid,expert_prob_sr,student_test_accuracy,0.8754333333333334,3,"42,43,44",absolute anchor plus paired mean differences
