dataset,regime,seed,method,status,rows
mnist,multi,44,feddf_prob,present,1
mnist,multi,44,confidence_logit,present,1
mnist,multi,44,consensus_logit,present,1
mnist,multi,44,energy_logit,present,1
mnist,multi,44,expert_logit,present,1
mnist,multi,44,oracle_logit,present,1
mnist,multi,44,expert_prob,present,1
mnist,multi,44,expert_prob_sr,present,1
mnist,multi,44,oracle_prob,present,1
mnist,single,42,feddf_logit,present,1
mnist,single,42,feddf_prob,present,1
mnist,single,42,confidence_logit,present,1
mnist,single,42,consensus_logit,present,1
mnist,single,42,energy_logit,present,1
mnist,single,42,expert_logit,present,1
mnist,single,42,oracle_logit,present,1
mnist,single,42,expert_prob,present,1
mnist,single,42,expert_prob_sr,present,1
mnist,single,42,oracle_prob,present,1
mnist,single,43,feddf_logit,present,1
mnist,single,43,feddf_prob,present,1
mnist,single,43,confidence_logit,present,1
mnist,single,43,consensus_logit,present,1
mnist,single,43,energy_logit,present,1
mnist,single,43,expert_logit,present,1
mnist,single,43,oracle_logit,present,1
mnist,single,43,expert_prob,present,1
mnist,single,43,expert_prob_sr,present,1
mnist,single,43,oracle_prob,present,1
mnist,single,44,feddf_logit,present,1
mnist,single,44,feddf_prob,present,1
mnist,single,44,confidence_logit,present,1
mnist,single,44,consensus_logit,present,1
mnist,single,44,energy_logit,present,1
mnist,single,44,expert_logit,present,1
mnist,single,44,oracle_logit,present,1
mnist,single,44,expert_prob,present,1
mnist,single,44,expert_prob_sr,present,1
mnist,single,44,oracle_prob,present,1
fmnist,iid,42,feddf_logit,present,1
fmnist,iid,42,feddf_prob,present,1
fmnist,iid,42,confidence_logit,present,1
fmnist,iid,42,consensus_logit,present,1
fmnist,iid,42,energy_logit,present,1
fmnist,iid,42,expert_logit,present,1
fmnist,iid,42,oracle_logit,present,1
fmnist,iid,42,expert_prob,present,1
fmnist,iid,42,expert_prob_sr,present,1
fmnist,iid,42,oracle_prob,present,1
fmnist,iid,43,feddf_logit,present,1
fmnist,iid,43,feddf_prob,present,1
fmnist,iid,43,confidence_logit,present,1
fmnist,iid,43,consensus_logit,present,1
