dataset,regime,mean,sd,n,seeds,contrast,metric
cifar,alpha0p5,-0.3484580614744177,0.03787788474594258,3,"42,43,44",selection_logit,target_nll
cifar,alpha1p0,-0.20324803980189587,0.038185594205459875,3,"42,43,44",selection_logit,target_nll
cifar,iid,-0.08687721106214623,0.008627779495298811,3,"42,43,44",selection_logit,target_nll
cifar,multi,-1.415477769791302,0.0328113754915391,3,"42,43,44",selection_logit,target_nll
cifar,single,-1.9894396060231527,0.005719723729245979,3,"42,43,44",selection_logit,target_nll
fmnist,alpha0p1,-1.0382655692915346,0.18362197991972834,3,"42,43,44",selection_logit,target_nll
fmnist,alpha0p5,-0.19689866466893294,0.030697386111175975,3,"42,43,44",selection_logit,target_nll
fmnist,alpha1p0,-0.0891388043828798,0.024651800299141772,3,"42,43,44",selection_logit,target_nll
fmnist,iid,-0.0244442367708196,0.002509046612461798,3,"42,43,44",selection_logit,target_nll
fmnist,multi,-2.008057255610453,0.06518568900069929,3,"42,43,44",selection_logit,target_nll
fmnist,single,-2.520082063430022,0.013859670450305195,3,"42,43,44",selection_logit,target_nll
mnist,alpha0p1,-0.9866287833513869,0.20267476916182448,3,"42,43,44",selection_logit,target_nll
mnist,alpha0p5,-0.1660003655173162,0.031016888651939967,3,"42,43,44",selection_logit,target_nll
mnist,alpha1p0,-0.04638696425884281,0.014129502735779296,3,"42,43,44",selection_logit,target_nll
mnist,iid,-0.007371031945351825,0.0001684383597900895,3,"42,43,44",selection_logit,target_nll
mnist,multi,-1.8900543728876533,0.0023676404864304552,3,"42,43,44",selection_logit,target_nll
mnist,single,-2.387008295996254,0.06824750715932298,3,"42,43,44",selection_logit,target_nll
cifar,alpha0p1,-0.28711366411113465,0.02392706216052883,3,"42,43,44",selection_logit,target_entropy
cifar,alpha0p5,-0.06561934703716983,0.01721458835756299,3,"42,43,44",selection_logit,target_entropy
cifar,alpha1p0,-0.036530830884645926,0.017405198042590646,3,"42,43,44",selection_logit,target_entropy
cifar,iid,-0.01010439818252884,0.0020166413925643417,3,"42,43,44",selection_logit,target_entropy
cifar,multi,-0.6830683524630216,0.02574223568402087,3,"42,43,44",selection_logit,target_entropy
cifar,single,-1.1474717628836955,0.027009346666629675,3,"42,43,44",selection_logit,target_entropy
fmnist,alpha0p1,-0.5355586476767508,0.15686146703307358,3,"42,43,44",selection_logit,target_entropy
fmnist,alpha0p5,-0.07566420298224297,0.009936595208057742,3,"42,43,44",selection_logit,target_entropy
fmnist,alpha1p0,-0.022563980385886584,0.008641435589192377,3,"42,43,44",selection_logit,target_entropy
fmnist,iid,-0.0030194862365836204,0.0007824792010834113,3,"42,43,44",selection_logit,target_entropy
fmnist,multi,-1.6623940777754764,0.07472343107420393,3,"42,43,44",selection_logit,target_entropy
fmnist,single,-2.154872861940373,0.030184135988442187,3,"42,43,44",selection_logit,target_entropy
mnist,alpha0p1,-0.5310661653015278,0.11076204061308667,3,"42,43,44",selection_logit,target_entropy
mnist,alpha0p5,-0.08115848695630905,0.025307685114198033,3,"42,43,44",selection_logit,target_entropy
