run_id,dataset,regime,seed,method,valid,reason
a9de3e3fa5f06018,cifar,alpha0p1,42,feddf_prob,True,
b64a38c9c8e7fb27,cifar,alpha0p1,42,expert_prob,True,
628816ccf6575c87,cifar,alpha0p1,42,expert_prob_sr,True,
00686f5118aeb695,cifar,alpha0p1,42,oracle_prob,True,
d650066873623ff7,cifar,alpha0p1,42,feddf_logit,True,
bb8cfa5cd29f2199,cifar,alpha0p1,42,oracle_logit,True,
f9a117fc96eb00c7,cifar,alpha0p1,42,confidence_logit,True,
4dc5010dc8c9e3f0,cifar,alpha0p1,42,consensus_logit,True,
86ca1aaa9aad7471,cifar,alpha0p1,42,energy_logit,True,
6869eda71ce63e5e,cifar,alpha0p1,42,expert_logit,True,
16fbdea328414ca8,cifar,alpha0p1,43,feddf_prob,True,
1ada48c9639e6d5c,cifar,alpha0p1,43,expert_prob,True,
a22684050910f5a4,cifar,alpha0p1,43,expert_prob_sr,True,
6afa9f7cfd9ff638,cifar,alpha0p1,43,oracle_prob,True,
e6d006cfc727d3f5,cifar,alpha0p1,43,feddf_logit,True,
3f0f1e59ff950c9e,cifar,alpha0p1,43,oracle_logit,True,
be2a4d0042b5c205,cifar,alpha0p1,44,feddf_prob,True,
37aeec9803de227f,cifar,alpha0p1,44,expert_prob,True,
5fb791d5c3fdef20,cifar,alpha0p1,44,expert_prob_sr,True,
a8fe0a2ce6881868,cifar,alpha0p1,44,oracle_prob,True,
c0f913d03f085f88,cifar,alpha0p1,44,feddf_logit,True,
63dcce5f980f6033,cifar,alpha0p1,44,oracle_logit,True,
e8ebfd1b97838513,cifar,alpha0p5,42,feddf_prob,True,
1a5ec00c049ea18a,cifar,alpha0p5,42,expert_prob,True,
313f884cd8366ccc,cifar,alpha0p5,42,expert_prob_sr,True,
5fc434b11f27e147,cifar,alpha0p5,42,oracle_prob,True,
d0e835345f988a49,cifar,alpha0p5,42,feddf_logit,True,
27dffcb093acc0f5,cifar,alpha0p5,42,oracle_logit,True,
90a9941ddd2f75b3,cifar,alpha0p5,42,confidence_logit,True,
dfcc3fe01062e5dc,cifar,alpha0p5,42,consensus_logit,True,
5ce600856a6236b5,cifar,alpha0p5,42,energy_logit,True,
70fd45cb24397f9c,cifar,alpha0p5,42,expert_logit,True,
