dataset,regime,proxy_size,mean,sd,n,metric,seeds
cifar,iid,100,0.0791,0.006750555532695059,3,delta_student_test_accuracy,"42,43,44"
cifar,iid,500,0.10880000000000002,0.007554468876102379,3,delta_student_test_accuracy,"42,43,44"
cifar,iid,1000,0.10410000000000004,0.010507616285342726,3,delta_student_test_accuracy,"42,43,44"
cifar,iid,5000,0.009300000000000011,0.005786190456595746,3,delta_student_test_accuracy,"42,43,44"
cifar,iid,10000,-0.037299999999999965,0.008853812738024191,3,delta_student_test_accuracy,"42,43,44"
cifar,single,100,0.0008999999999999934,0.01483543056335067,3,delta_student_test_accuracy,"42,43,44"
cifar,single,500,0.028666666666666674,0.0012897028081435445,3,delta_student_test_accuracy,"42,43,44"
cifar,single,1000,0.029266666666666663,0.010818656724997454,3,delta_student_test_accuracy,"42,43,44"
cifar,single,5000,0.0073000000000000105,0.009892926766129446,3,delta_student_test_accuracy,"42,43,44"
cifar,single,10000,-0.0025333333333333505,0.012897415761823497,3,delta_student_test_accuracy,"42,43,44"
cifar,alpha0p1,100,0.011115274429321254,0.21252516610450214,3,delta_student_test_nll,"42,43,44"
cifar,alpha0p1,500,-0.12517980372110996,0.24770205159953185,3,delta_student_test_nll,"42,43,44"
cifar,alpha0p1,1000,-0.10021491413116472,0.1911346679161557,3,delta_student_test_nll,"42,43,44"
cifar,alpha0p1,5000,0.1204417386372884,0.08545978227226494,3,delta_student_test_nll,"42,43,44"
cifar,alpha0p1,10000,0.15333838167190558,0.1069325794748469,3,delta_student_test_nll,"42,43,44"
cifar,iid,100,-1.082727111943563,0.12412778563844164,3,delta_student_test_nll,"42,43,44"
cifar,iid,500,-1.0452340860366822,0.03266805666207562,3,delta_student_test_nll,"42,43,44"
cifar,iid,1000,-0.9641997156461081,0.13568033037025656,3,delta_student_test_nll,"42,43,44"
cifar,iid,5000,-0.3972934180259704,0.04571434727603141,3,delta_student_test_nll,"42,43,44"
cifar,iid,10000,-0.11318323092460625,0.05442494716749966,3,delta_student_test_nll,"42,43,44"
cifar,single,100,1.4797222016652423,0.1979098621054977,3,delta_student_test_nll,"42,43,44"
cifar,single,500,0.9670742373148599,0.2006892880263286,3,delta_student_test_nll,"42,43,44"
cifar,single,1000,0.8606292980194089,0.04882009097852929,3,delta_student_test_nll,"42,43,44"
cifar,single,5000,0.8032077330271403,0.139777745480732,3,delta_student_test_nll,"42,43,44"
cifar,single,10000,0.8369077248573306,0.1661545261678175,3,delta_student_test_nll,"42,43,44"
